용어 예문
스크럼 |애자일 방법론 ① : 스크럼(scrum)                         최신조직문화리더십성과관리직원몰입기업사례tools서비스 소개목표설정피드백애자일 성과관리비전수립조직문화 개선조직문화 진단  검색 HR블레틴 HR블레틴 최신조직문화리더십성과관리직원몰입기업사례tools서비스 소개목표설정피드백애자일 성과관리비전수립조직문화 개선조직문화 진단검색 Sign inWelcome! Log into your accountyour usernameyour password Forgot your password? Get helpPassword recoveryRecover your passwordyour email A password will be e-mailed to you|
스크럼 |이런 과정을 통해서 제대로 데일리 스크럼이 도입되면 ‘우리가 더 잘하고 있구나’라는 생각을 하게 된다|
스크럼 |팀에 맞게 Jira로 스크럼 관리하기 - 규칙 정하기jinwook4217|
스크럼 |log로그인팀에 맞게 Jira로 스크럼 관리하기 - 규칙 정하기jinuku·2021년 11월 9일7JIRAagilescrum스크럼스프린트애자일지라7들어가면서이슈Example이슈 내용 작성칸반 보드 관리깃헙과 연동하기스프린트 운영마지막으로 항상 기억해야 할 것참고 자료팀에맞게 Jira로 스크럼 관리하기목록 보기1/1들어가면서저희 개발팀에서는 이전부터 스크럼을 운영하고 있었습니다|
스크럼 |데일리 스크럼 회의에서 다음과 같은 내용을 공유하면 된다|
스크럼 |참고 자료애자일 방법론 - 스크럼(Scrum)애자일(Agile)과 스크럼(Scrum)과 지라(JIRA) 이야기Jira를 통해 스크럼 관리하기어느 스타트업의 애자일 스크럼와 JIRA에 대한 연구 문서세상에 작은 도전이 많아지길 바라는 MAKE에서 CTO 및 PO를 맡고있는 Jack입니다|
스크럼 |에서Tags: 방법론스크럼애자일해커톤Related PostsNo Content Available Next Post                         Rails Engine을 이용한 Zeus 프로젝트                                             리멤버 앱의 명함인식 기능                     답글 남기기 응답 취소이메일 주소는 공개되지 않습니다|
스크럼 |애자일(Agile)과 스크럼(Scrum)과 지라(JIRA) 이야기 :: 앵그리 비버's IT를 부탁해홈태그미디어로그위치로그방명록 전체 보기 (100)  PM을 부탁해 (42)  Axure Documentation |
스크럼 |html  <애자일과 스크럼>가끔 대화를 나누다보면 애자일과 스크럼을 동일한 개념으로 사용하는 분을 만나게 됩니다|
스크럼 |html <스크럼>다음은 스크럼인데요|
스크럼 |(참고) 애자일 스크럼과 JIRA https://www|
스크럼 |08스크럼 / 스프린트 학습 자료 - JIRA를 이용한 스크럼 / 칸반 적용 안내  (0)2019|
스크럼 |09TAGJira, PM, Product Management, 사용자 스토리, 스크럼, 스프린트, 애자일, 지라관련글 관련글 더보기스프린트가 잘 안되는 이유 (2)2019|
스크럼 |08스크럼 / 스프린트 학습 자료 - JIRA를 이용한 스크럼 / 칸반 적용 안내2019|
스크럼 |24댓글 0댓글                                                    접기댓글 펼치기이전 댓글 더보기                                                            비밀글등록인기포스트JIRA 처음 사용하기앵그리비버지라(JIRA)와 슬랙(Slack) 연동하기 - JIR⋯앵그리비버액슈어(Axure) 따라하기 - Getting Star⋯앵그리비버애자일(Agile)과 스크럼(Scrum)과 지라(JIR⋯앵그리비버                    Designed by Tistory|
스크럼 |스프린트는 2주에서 6주 간격으로 돌아가는데 한 스프린트 내에서 스크럼 조직은 기획/개발/출시/피드백으로 이어지는 일련의 과정을 반복하게 된다|
스크럼 |대기업의 팀 형식은 비슷한 역할, 즉 개발자면 개발자, BA면 BA, 디자이너면 디자이너 이런 식으로 모아 놓다 보니 오히려 챕터 형식을 띄고 있었던 점이 스크럼 조직과는 상충된다는 점이었다|
스크럼 |현재의 우리 회사 구조에서는 완전한 애자일 스크럼을 이뤄내긴 어렵다고 본다|
스프린트 |오늘 스프린트 회고하겠습니다”|
스프린트 |네, 오늘은 열심히 만든 단기 프로젝트를 회고하는 날이군요”스프린트는 원래 짧은 거리를 전력 질주하는 것을 이르는 말이에요|
스프린트 |오늘 스프린트 회고하겠습니다”|
스프린트 |네, 오늘은 열심히 만든 단기 프로젝트를 회고하는 날이군요”​스프린트는 원래 짧은 거리를 전력 질주하는 것을 이르는 말이에요|
